Day,Liberal Party of Australia: (Australia),National Party of Australia: (Australia),Australian Labor Party: (Australia)
2019-01-18,1,0,1
2019-01-19,1,0,1
2019-01-20,1,0,1
2019-01-21,1,0,1
2019-01-22,2,0,1
2019-01-23,1,0,2
2019-01-24,1,0,1
2019-01-25,2,1,1
2019-01-26,1,0,1
2019-01-27,1,0,2
2019-01-28,2,0,2
2019-01-29,2,0,2
2019-01-30,1,0,2
2019-01-31,1,1,2
2019-02-01,1,0,1
2019-02-02,1,0,1
2019-02-03,1,0,3
2019-02-04,1,0,1
2019-02-05,2,0,3
2019-02-06,1,0,2
2019-02-07,2,0,3
2019-02-08,2,0,3
2019-02-09,1,1,2
2019-02-10,2,0,2
2019-02-11,1,1,3
2019-02-12,2,0,3
2019-02-13,2,0,3
2019-02-14,1,0,2
2019-02-15,1,1,2
2019-02-16,1,0,2
2019-02-17,2,0,2
2019-02-18,2,0,2
2019-02-19,3,0,3
2019-02-20,1,0,3
2019-02-21,2,0,3
2019-02-22,2,0,2
2019-02-23,2,0,2
2019-02-24,3,0,2
2019-02-25,1,0,2
2019-02-26,1,0,1
2019-02-27,2,0,2
2019-02-28,1,0,2
2019-03-01,2,0,1
2019-03-02,2,0,1
2019-03-03,1,0,2
2019-03-04,1,1,3
2019-03-05,3,0,3
2019-03-06,2,0,3
2019-03-07,1,0,3
2019-03-08,2,0,2
2019-03-09,1,0,2
2019-03-10,2,1,2
2019-03-11,2,1,3
2019-03-12,2,0,3
2019-03-13,2,0,3
2019-03-14,2,0,3
2019-03-15,1,0,1
2019-03-16,1,0,3
2019-03-17,1,0,3
2019-03-18,3,0,3
2019-03-19,3,1,3
2019-03-20,3,0,3
2019-03-21,4,0,5
2019-03-22,7,1,10
2019-03-23,8,2,13
2019-03-24,5,1,4
2019-03-25,6,1,3
2019-03-26,5,1,2
2019-03-27,2,0,3
2019-03-28,3,1,2
2019-03-29,1,0,4
2019-03-30,1,0,3
2019-03-31,1,0,2
2019-04-01,2,1,3
2019-04-02,2,1,3
2019-04-03,1,0,3
2019-04-04,2,0,5
2019-04-05,2,1,4
2019-04-06,1,1,2
2019-04-07,2,1,2
2019-04-08,2,0,3
2019-04-09,2,1,3
2019-04-10,2,0,4
2019-04-11,3,0,6
2019-04-12,2,0,4
2019-04-13,2,0,3
2019-04-14,3,0,5
2019-04-15,3,1,4
2019-04-16,2,1,6
2019-04-17,3,1,6
2019-04-18,1,1,5
2019-04-19,2,0,3
2019-04-20,2,0,4
2019-04-21,3,0,2
2019-04-22,1,0,4
2019-04-23,2,1,5
2019-04-24,3,0,3
2019-04-25,2,1,3
2019-04-26,2,0,4
2019-04-27,3,0,4
2019-04-28,3,1,6
2019-04-29,5,1,6
2019-04-30,7,1,8
2019-05-01,6,1,9
2019-05-02,5,0,6
2019-05-03,4,0,5
2019-05-04,4,0,5
2019-05-05,6,0,11
2019-05-06,6,1,10
2019-05-07,5,1,8
2019-05-08,8,0,9
2019-05-09,8,1,9
2019-05-10,8,0,13
2019-05-11,7,1,8
2019-05-12,12,1,12
2019-05-13,12,1,13
2019-05-14,12,1,15
2019-05-15,12,1,16
2019-05-16,15,1,19
2019-05-17,35,2,36
2019-05-18,100,6,81