Day,Partido Social Liberal: (Brazil),Partido dos Trabalhadores: (Brazil)
2018-06-28,0,7
2018-06-29,0,4
2018-06-30,0,7
2018-07-01,0,5
2018-07-02,0,7
2018-07-03,0,3
2018-07-04,0,4
2018-07-05,4,11
2018-07-06,0,4
2018-07-07,0,5
2018-07-08,0,45
2018-07-09,0,27
2018-07-10,0,8
2018-07-11,0,12
2018-07-12,0,15
2018-07-13,4,12
2018-07-14,0,15
2018-07-15,0,10
2018-07-16,0,7
2018-07-17,4,5
2018-07-18,0,4
2018-07-19,4,15
2018-07-20,4,8
2018-07-21,0,7
2018-07-22,5,12
2018-07-23,4,4
2018-07-24,4,4
2018-07-25,4,0
2018-07-26,4,5
2018-07-27,0,7
2018-07-28,5,0
2018-07-29,0,7
2018-07-30,0,14
2018-07-31,0,8
2018-08-01,3,9
2018-08-02,7,10
2018-08-03,7,9
2018-08-04,0,15
2018-08-05,0,4
2018-08-06,0,10
2018-08-07,3,5
2018-08-08,0,13
2018-08-09,3,15
2018-08-10,11,11
2018-08-11,4,7
2018-08-12,5,7
2018-08-13,0,12
2018-08-14,0,8
2018-08-15,3,21
2018-08-16,3,19
2018-08-17,0,7
2018-08-18,0,11
2018-08-19,5,14
2018-08-20,3,9
2018-08-21,3,24
2018-08-22,3,22
2018-08-23,10,10
2018-08-24,7,7
2018-08-25,0,18
2018-08-26,4,13
2018-08-27,3,10
2018-08-28,3,24
2018-08-29,7,8
2018-08-30,3,14
2018-08-31,5,20
2018-09-01,11,39
2018-09-02,6,9
2018-09-03,3,20
2018-09-04,0,17
2018-09-05,3,12
2018-09-06,5,14
2018-09-07,0,17
2018-09-08,10,19
2018-09-09,14,9
2018-09-10,3,26
2018-09-11,7,25
2018-09-12,8,24
2018-09-13,7,19
2018-09-14,9,13
2018-09-15,18,20
2018-09-16,4,9
2018-09-17,5,27
2018-09-18,8,25
2018-09-19,9,29
2018-09-20,5,31
2018-09-21,7,17
2018-09-22,5,16
2018-09-23,9,30
2018-09-24,3,14
2018-09-25,3,20
2018-09-26,8,24
2018-09-27,15,29
2018-09-28,9,29
2018-09-29,7,30
2018-09-30,7,38
2018-10-01,14,45
2018-10-02,7,38
2018-10-03,27,43
2018-10-04,11,42
2018-10-05,18,35
2018-10-06,21,58
2018-10-07,58,59
2018-10-08,36,100
2018-10-09,17,83
2018-10-10,7,66
2018-10-11,11,70
2018-10-12,5,51
2018-10-13,5,19
2018-10-14,7,43
2018-10-15,7,21
2018-10-16,10,35
2018-10-17,3,19
2018-10-18,7,16
2018-10-19,4,23
2018-10-20,7,26
2018-10-21,0,25
2018-10-22,4,18
2018-10-23,7,19
2018-10-24,3,33
2018-10-25,11,19
2018-10-26,17,23
2018-10-27,5,34
2018-10-28,13,45