Day,Hillary Clinton: (New York),Bernie Sanders: (New York)
2015-12-19,8,16
2015-12-20,18,23
2015-12-21,13,10
2015-12-22,19,8
2015-12-23,25,10
2015-12-24,12,8
2015-12-25,8,6
2015-12-26,8,6
2015-12-27,7,8
2015-12-28,6,6
2015-12-29,8,6
2015-12-30,7,7
2015-12-31,6,7
2016-01-01,7,5
2016-01-02,6,7
2016-01-03,7,8
2016-01-04,8,7
2016-01-05,8,9
2016-01-06,9,8
2016-01-07,10,9
2016-01-08,9,7
2016-01-09,7,10
2016-01-10,10,10
2016-01-11,10,11
2016-01-12,13,14
2016-01-13,14,20
2016-01-14,11,15
2016-01-15,16,20
2016-01-16,13,13
2016-01-17,14,19
2016-01-18,29,45
2016-01-19,16,21
2016-01-20,15,20
2016-01-21,14,21
2016-01-22,15,23
2016-01-23,11,21
2016-01-24,12,19
2016-01-25,13,17
2016-01-26,22,31
2016-01-27,17,24
2016-01-28,16,24
2016-01-29,20,21
2016-01-30,20,22
2016-01-31,18,26
2016-02-01,23,31
2016-02-02,66,80
2016-02-03,28,34
2016-02-04,26,36
2016-02-05,33,46
2016-02-06,23,36
2016-02-07,24,55
2016-02-08,19,31
2016-02-09,21,32
2016-02-10,40,100
2016-02-11,26,51
2016-02-12,38,54
2016-02-13,22,36
2016-02-14,19,27
2016-02-15,17,22
2016-02-16,17,21
2016-02-17,21,25
2016-02-18,17,22
2016-02-19,23,27
2016-02-20,25,33
2016-02-21,33,33
2016-02-22,22,24
2016-02-23,19,20
2016-02-24,26,25
2016-02-25,27,23
2016-02-26,25,24
2016-02-27,24,23
2016-02-28,38,32
2016-02-29,25,22
2016-03-01,30,32
2016-03-02,56,53
2016-03-03,36,28
2016-03-04,27,24
2016-03-05,24,25
2016-03-06,29,37
2016-03-07,40,46
2016-03-08,25,29
2016-03-09,36,50
2016-03-10,30,40
2016-03-11,26,24
2016-03-12,28,30
2016-03-13,27,32
2016-03-14,29,37
2016-03-15,26,35
2016-03-16,60,52
2016-03-17,32,24
2016-03-18,23,22
2016-03-19,23,19
2016-03-20,25,18
2016-03-21,20,18
2016-03-22,20,18
2016-03-23,24,30
2016-03-24,20,19
2016-03-25,21,20
2016-03-26,22,41
2016-03-27,25,66
2016-03-28,19,30
2016-03-29,25,28
2016-03-30,26,31
2016-03-31,30,41
2016-04-01,34,37
2016-04-02,25,28
2016-04-03,23,32
2016-04-04,24,24
2016-04-05,28,33
2016-04-06,36,58
2016-04-07,34,44
2016-04-08,33,50
2016-04-09,29,54
2016-04-10,28,49
2016-04-11,33,60
2016-04-12,29,54
2016-04-13,27,57
2016-04-14,33,61
2016-04-15,64,76
2016-04-16,32,54
2016-04-17,31,64
2016-04-18,39,58
2016-04-19,73,91